Search City	Job Title	Company	Location	Required Skills	Posted Date	Job URL
Mumbai	Fleet Supervisor	Acko	Mumbai	fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis	3+ weeks ago	https://www.naukri.com/job-listings-fleet-supervisor-acko-mumbai-1-to-3-years-241225503697
Mumbai	Manager - Operations	Movin Express	Mumbai (All Areas)(Bhiwandi)	Operations | Fleet | first mile | Logistics Operations | Supply Chain Operations | Transport Operations | Route Planning | Vehicle Management	Few hours ago	https://www.naukri.com/job-listings-manager-operations-movin-express-mumbai-all-areas-10-to-16-years-240626007533
Mumbai	Transport Executive	Euroschool Kharadi	"Mumbai, Hyderabad, Pune, Bengaluru"	fleet | shipment | supply chain | warehouse operations | documentation | logistics | tracking | transportation operations	3+ weeks ago	https://www.naukri.com/job-listings-transport-executive-euroschool-kharadi-mumbai-hyderabad-pune-bengaluru-2-to-5-years-170225504838
Mumbai	Transport Executive	DMart	"Navi Mumbai, Bhiwandi, Dattwadi, Pune"	Vehicle Management | Transportation | Transport Operations | Dispatch Planning | Shipment Tracking | Route Planning | Transport Management | Vehicle	3 weeks ago	https://www.naukri.com/job-listings-transport-executive-dmart-bhiwandi-navi-mumbai-dattwadi-pune-3-to-7-years-230725020523
Mumbai	Service advisor	Apollo Hospitals	Mumbai	repair | advisory services | mechanical engineering | customer service | automobile | automobile service | vehicle maintenance | service engineering	5 days ago	https://www.naukri.com/job-listings-service-advisor-apollo-hospitals-mumbai-1-to-6-years-120626504876
Mumbai	Transport Executive	Cushman & Wakefield	Mumbai Suburban	Vehicle Management | Transport Management | Transport Operations | Route Planning | Gps Tracking | Route3 | GPS | Operations	3+ weeks ago	https://www.naukri.com/job-listings-transport-executive-cushman-wakefield-mumbai-suburban-3-to-8-years-260526019495
Mumbai	Transport Coordinator- Male	TNT Business Services Pvt Ltd	Mumbai(Marol)	Transport Management | Transportation | Vehicle Tracking | Dispatch | Supply Chain | Route Planning | Dispatch Planning | Logistics	3+ weeks ago	https://www.naukri.com/job-listings-transport-coordinator-male-tnt-business-services-mumbai-2-to-7-years-250526015102
Mumbai	Transport Executive	Sinotrans India	Mumbai	Vehicle management | Team management | Transport Executive | Safety management | Transport management | Management | Supervision | Logistics	3+ weeks ago	https://www.naukri.com/job-listings-transport-executive-sinotrans-india-private-limited-mumbai-2-to-6-years-190624501522
Mumbai	Service Advisor	For Client of Trevo Innovations Pvt. Ltd.	"Mumbai(Panvel), Navi Mumbai"	Spare Parts | Advisory Services | Automobile | Customer Service | Car Service | Automotive Service | Solving Queries | Workshop Management	2 weeks ago	https://www.naukri.com/job-listings-service-advisor-trevo-innovations-mumbai-navi-mumbai-1-to-6-years-030626029823
Mumbai	"Senior Associate, Specialist, Operations, Project Management"	DBS Bank	Mumbai	Project management | Analytical | Machine learning | Banking | Data collection | Scheduling | Manager Quality Control | Operations	1 day ago	https://www.naukri.com/job-listings-senior-associate-specialist-operations-project-management-dbs-bank-ltd-mumbai-5-to-7-years-230626502305
Mumbai	Fleet Supervisor	Acko	Mumbai	com | sosl | lightning | visualforce | soql | triggers | lighting | apex	3+ weeks ago	https://www.naukri.com/job-listings-fleet-supervisor-acko-general-mumbai-1-to-4-years-260825504558
Mumbai	Duty Manager with CBRE (BKC)	CBRE	"Mumbai, Mumbai Suburban, Mumbai (All Areas)"	MEP | Breakdown Maintenance | Report Preparation | AMC | BMS | Vendor Management | Bm | Reporting	4 days ago	https://www.naukri.com/job-listings-duty-manager-with-cbre-bkc-cbre-mumbai-mumbai-suburban-mumbai-all-areas-0-to-6-years-190626016235
Mumbai	Operations Staff - MEC	DHL Supply Chain	Mumbai	application software | project management | shipment | data analysis | process enhancement | logistics | general accounting | general ledger	1 week ago	https://www.naukri.com/job-listings-operations-staff-mec-dhl-global-forwarding-india-mumbai-6-to-8-years-160626503834
Mumbai	Operations Staff - MEC	DHL Supply Chain	Mumbai	cost reduction | operations management | training and development | team management | administration | customer service | team handling | hrsd	1 week ago	https://www.naukri.com/job-listings-operations-staff-mec-dhl-global-forwarding-india-mumbai-6-to-11-years-120626505559
Mumbai	Operations Staff - BOB	DHL Supply Chain	Mumbai	operations management | project management | quality control | team management | process improvements | operations | quality management | customer satisfaction	1 week ago	https://www.naukri.com/job-listings-operations-staff-bob-dhl-global-forwarding-india-mumbai-6-to-11-years-120626505558
